action step time goats tigers
[die] 85 0.06528872835503581 473 514
[predate] 86 0.06549514572171891 472 515
[die] 87 0.0657146245044196 472 514
[grow] 88 0.06678749236494025 473 514
[die] 89 0.0670171614575943 473 513
[predate] 90 0.0671517469537644 472 514
[grow] 91 0.06936956196249541 473 514
[predate] 92 0.06982832997594682 472 515
[die] 93 0.07196337534391216 472 514
[predate] 94 0.07243814195949207 471 515
[predate] 95 0.07297804559560757 470 516
[predate] 96 0.07530985443661856 469 517
[grow] 97 0.07602450048987738 470 517
[grow] 98 0.08053724029805878 471 517
[grow] 99 0.08282639626167296 472 517
[predate] 100 0.08283802451830628 471 518
[predate] 101 0.08472607860737602 470 519
[die] 102 0.08785893932613506 470 518
[predate] 103 0.08929742743450507 469 519
[predate] 104 0.08954450025077255 468 520
[predate] 105 0.09114487577507713 467 521
[grow] 106 0.09158463249205843 468 521
[die] 107 0.09398289572956416 468 520
[predate] 108 0.09436835425680197 467 521
[predate] 109 0.09489178176943856 466 522
[predate] 110 0.0970133102229673 465 523
[predate] 111 0.0991310029284842 464 524
[die] 112 0.09974441138960709 464 523
[grow] 113 0.10004374982138095 465 523
[predate] 114 0.10017257977562055 464 524
[predate] 115 0.10329670691420577 463 525
[predate] 116 0.1039166754252718 462 526
[die] 117 0.10407171200085932 462 525
[predate] 118 0.10427952108752034 461 526
[grow] 119 0.10547075753605066 462 526
[predate] 120 0.10614088027312116 461 527
[grow] 121 0.10817165636432184 462 527
[predate] 122 0.10824698758451518 461 528
[grow] 123 0.10909995783351613 462 528
[grow] 124 0.10918913305751575 463 528
[predate] 125 0.10932887800726065 462 529
[predate] 126 0.10934789714868919 461 530
[die] 127 0.11211741489866106 461 529
[grow] 128 0.11225304009771683 462 529
[predate] 129 0.1126402444917199 461 530
[predate] 130 0.11271964784010644 460 531
[predate] 131 0.11288580747479186 459 532
[predate] 132 0.11334913244323117 458 533
[predate] 133 0.11565912793872668 457 534
[grow] 134 0.11586722096210778 458 534
[die] 135 0.1180304369340184 458 533
[predate] 136 0.11813688254147466 457 534
[grow] 137 0.11931368107699754 458 534
[die] 138 0.11994955863478787 458 533
[die] 139 0.12144200198128124 458 532
[predate] 140 0.12235448522383625 457 533
[die] 141 0.12283755967085433 457 532
[grow] 142 0.12310909947146038 458 532
[predate] 143 0.12473580335287683 457 533
[die] 144 0.1251371770321895 457 532
[die] 145 0.12543396152838301 457 531
[predate] 146 0.12594765492375265 456 532
[die] 147 0.12620588597463164 456 531
[die] 148 0.12728240824063505 456 530
[die] 149 0.12812917059604131 456 529
[predate] 150 0.12848468949828273 455 530
[predate] 151 0.12854730089583885 454 531
[predate] 152 0.12869165295346197 453 532
[die] 153 0.1310311017277868 453 531
[predate] 154 0.13313691574909894 452 532
[predate] 155 0.13353824485807553 451 533
[predate] 156 0.13362206054683629 450 534
[predate] 157 0.13364701182527616 449 535
[grow] 158 0.13795396168705826 450 535
[die] 159 0.1390407765343311 450 534
[die] 160 0.13937612761214171 450 533
[die] 161 0.14063475935868097 450 532
[predate] 162 0.14216908106242415 449 533
[die] 163 0.14346045316472247 449 532
[predate] 164 0.14357694226521803 448 533
[die] 165 0.1436952592632212 448 532
[predate] 166 0.145831849409762 447 533
[predate] 167 0.14840042253446395 446 534
[die] 168 0.14843487744410422 446 533
[predate] 169 0.14986054658179868 445 534
[grow] 170 0.15038512108057356 446 534
[predate] 171 0.15076296991412455 445 535
[predate] 172 0.15089341923823388 444 536
[die] 173 0.1512236326994624 444 535
[grow] 174 0.15145080152415383 445 535
[die] 175 0.15247646648932178 445 534
[die] 176 0.15285755796037354 445 533
[die] 177 0.15346881924759176 445 532
[die] 178 0.1542615416117603 445 531
[die] 179 0.15454302669233103 445 530
[predate] 180 0.1546366906246738 444 531
[grow] 181 0.155039659388657 445 531
[die] 182 0.15677229694387024 445 530
[die] 183 0.1572054791597204 445 529
[predate] 184 0.15739090979956305 444 530
[predate] 185 0.15967260686422316 443 531
[grow] 186 0.15969935745923608 444 531
[predate] 187 0.16023982500052966 443 532
[predate] 188 0.16041697717623304 442 533
[die] 189 0.1606009106237398 442 532
[predate] 190 0.1608007566089288 441 533
[predate] 191 0.16144404988418373 440 534
[die] 192 0.16161236423510045 440 533
