migrate,mean_corr
0.001,-0.01942812279985217
0.00245,0.11606033593486997
0.0039,0.19298345460966693
0.00535,0.29633496560484324
0.0068,0.3674367815396328
0.00825,0.4484117241592996
0.0097,0.550339505058212
0.01115,0.6313703527637478
0.0126,0.6473108836753347
0.01405,0.7011175353939076
0.0155,0.7455691096068049
0.01695,0.7688825226836824
0.0184,0.7689909221557197
0.01985,0.7722926021861083
0.0213,0.8030412341093063
0.02275,0.8167566269871204
0.0242,0.8128513147565763
0.02565,0.8580609941030151
0.0271,0.8286739814213391
0.02855,0.8384094800922772
0.03,0.8685180296130739
0.03145,0.8719208258298492
0.0329,0.8763777974928448
0.03435,0.8882267289924016
0.0358,0.8886349817663826
0.03725,0.895900295661367
0.0387,0.9052277773092048
0.04015,0.9075847302452666
